지점,지점명,일시,평균기온(°C)
112,인천,2023-04-01,15
112,인천,2023-04-02,17.9
112,인천,2023-04-03,18.8
112,인천,2023-04-04,17
112,인천,2023-04-05,10.6
112,인천,2023-04-06,7.7
112,인천,2023-04-07,8
112,인천,2023-04-08,8.1
112,인천,2023-04-09,9.4
112,인천,2023-04-10,12.4
112,인천,2023-04-11,12
112,인천,2023-04-12,9.4
112,인천,2023-04-13,11.3
112,인천,2023-04-14,14.8
112,인천,2023-04-15,11.3
112,인천,2023-04-16,9.7
112,인천,2023-04-17,12
112,인천,2023-04-18,13.7
112,인천,2023-04-19,17.5
112,인천,2023-04-20,13.2
112,인천,2023-04-21,15.1
112,인천,2023-04-22,16.7
112,인천,2023-04-23,15.8
112,인천,2023-04-24,14.4
112,인천,2023-04-25,10.6
112,인천,2023-04-26,9.2
112,인천,2023-04-27,10.8
112,인천,2023-04-28,14.5
112,인천,2023-04-29,12.1
112,인천,2023-04-30,11.5
112,인천,2023-05-01,13.1
